"Participant","Task","Task_Order","Duration","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device_OS","Illusion_Type","Block","Trial","Stimulus","Illusion_Strength","Illusion_Effect","Illusion_Side","Illusion_Difference","Answer","Error","RT"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,19,"MullerLyer_2.30000_0.35000",2.3,"Incongruent","1",0.35,"up",0,"812"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,20,"MullerLyer_20.04286_-0.23665",20.04286,"Incongruent","-1",0.23665,"up",1,"960"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,21,"MullerLyer_8.21429_0.35000",8.21429,"Incongruent","1",0.35,"up",0,"1006"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,22,"MullerLyer_8.21429_-0.14541",8.21429,"Incongruent","-1",0.14541,"down",0,"2048"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,23,"MullerLyer_14.12857_0.07627",14.12857,"Incongruent","1",0.07627,"down",1,"730"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,24,"MullerLyer_-20.04286_-0.3500",-20.04286,"Congruent","-1",0.35,"down",0,"594"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,25,"MullerLyer_-14.12857_-0.14541",-14.12857,"Congruent","-1",0.14541,"down",0,"570"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,26,"MullerLyer_-14.12857_-0.23665",-14.12857,"Congruent","-1",0.23665,"down",0,"468"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,27,"MullerLyer_14.12857_0.35000",14.12857,"Incongruent","1",0.35,"up",0,"604"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,28,"MullerLyer_-8.21429_-0.07627",-8.21429,"Congruent","-1",0.07627,"down",0,"627"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,29,"MullerLyer_-20.04286_-0.14541",-20.04286,"Congruent","-1",0.14541,"down",0,"552"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,30,"MullerLyer_-20.04286_0.23665",-20.04286,"Congruent","1",0.23665,"up",0,"576"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,31,"MullerLyer_2.30000_0.23665",2.3,"Incongruent","1",0.23665,"up",0,"886"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,32,"MullerLyer_-20.04286_-0.07627",-20.04286,"Congruent","-1",0.07627,"down",0,"575"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,33,"MullerLyer_-2.3000_-0.3500",-2.3,"Congruent","-1",0.35,"down",0,"644"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,34,"MullerLyer_-14.12857_-0.07627",-14.12857,"Congruent","-1",0.07627,"down",0,"595"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,35,"MullerLyer_-8.21429_-0.23665",-8.21429,"Congruent","-1",0.23665,"down",0,"528"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,36,"MullerLyer_20.04286_0.35000",20.04286,"Incongruent","1",0.35,"up",0,"870"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,37,"MullerLyer_8.21429_0.07627",8.21429,"Incongruent","1",0.07627,"up",0,"3162"
"S003","Illusion_Session1",1,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,38,"MullerLyer_14.12857_-0.14541",14.12857,"Incongruent","-1",0.14541,"up",1,"849"
