"Ind_Ebbinghaus_Diff_Error","Ind_Ebbinghaus_Strength_Error","Ind_Ebbinghaus_Interaction_Error","Ind_Ebbinghaus_Diff_RT","Ind_Ebbinghaus_Strength_RT","Ind_Ebbinghaus_Interaction_RT","Ind_MullerLyer_Diff_Error","Ind_MullerLyer_Strength_Error","Ind_MullerLyer_Interaction_Error","Ind_MullerLyer_Diff_RT","Ind_MullerLyer_Strength_RT","Ind_MullerLyer_Interaction_RT","Ind_VerticalHorizontal_Diff_Error","Ind_VerticalHorizontal_Strength_Error","Ind_VerticalHorizontal_Interaction_Error","Ind_VerticalHorizontal_Diff_RT","Ind_VerticalHorizontal_Strength_RT","Ind_VerticalHorizontal_Interaction_RT","Participant","PriorScale"
-20.6909,2.273735,1.46499,-0.8464755,-0.02407835,0.2717245,-30.0325,1.59006,1.48656,-0.8206965,0.01675455,-0.01208985,-15.7151,0.717834,0.5092965,-0.912633,0.04715865,0.003311845,"S450",1
-20.2624,2.00471,0.2918615,-0.8714835,-0.05219805,0.1673325,-29.14595,1.60233,1.70577,-0.825051,0.007978615,-0.0135116,-15.5432,0.7189965,0.4689805,-0.87309,0.03911995,0.01333285,"S450",2
-20.05125,1.557225,-2.621615,-0.756883,-0.08586305,0.2243395,-27.89495,1.63139,2.056705,-0.594389,-0.001449205,0.005254495,-16.14405,0.752789,0.334704,-0.738059,0.0352281,0.03435975,"S450",4
-20.9091,2.37004,1.95106,-0.839296,-0.0200944,0.2894355,-30.3285,1.581765,1.37842,-0.816493,0.01887725,-0.01018925,-15.40395,0.766783,0.681868,-0.921439,0.04486645,0.00191139,"S135",0.5
-21.00675,2.21211,1.066555,-0.8379925,-0.0194194,0.2877565,-30.3122,1.550325,1.294545,-0.8208865,0.0157807,-0.01262745,-15.38265,0.755443,0.649201,-0.904037,0.03966825,-0.00545433,"S135",1
-20.23915,1.885985,-0.2623195,-0.817576,-0.01244385,0.3117,-29.47575,1.476955,1.20031,-0.8087675,0.006234585,-0.01220285,-14.44155,0.734622,0.6870185,-0.651523,-0.002984385,0.01753315,"S135",2
-17.60965,1.288515,-2.462225,-0.7183555,-0.02057995,0.3156625,-26.20285,1.252945,0.972894,-0.6084985,-0.004718655,0.007213355,-12.60805,0.682873,0.6747915,-0.3578715,-0.01326825,0.0215089,"S135",4
-20.3131,2.55014,3.048255,-0.838794,-0.0194694,0.291868,-30.5192,1.57916,1.33992,-0.8094965,0.0195756,-0.009229705,-15.807,0.7440735,0.5855065,-0.912866,0.0484743,0.005254395,"S370",0.5
-19.7921,2.69293,4.212965,-0.8358665,-0.0168563,0.294647,-30.6889,1.553635,1.25018,-0.8066585,0.0183193,-0.009437805,-15.65505,0.723856,0.541629,-0.9133155,0.04545935,0.0003907595,"S370",1
-19.2292,3.04766,6.469845,-0.8651105,-0.01119165,0.275885,-30.62075,1.527415,1.111335,-0.7761775,0.0111929,-0.00925048,-15.70665,0.754632,0.584619,-0.7733965,0.0202237,0.01951135,"S370",2
-19.83575,3.80017,10.039,-0.928901,0.01904965,0.316211,-30.636,1.49244,0.9185295,-0.506689,-0.01026365,0.0158167,-16.8203,0.8552205,0.6140935,-0.383152,-0.03270225,0.0621514,"S370",4
-20.73225,2.43326,2.25399,-0.840324,-0.0213202,0.285817,-30.25775,1.588805,1.425245,-0.8170145,0.0187432,-0.010365,-15.86825,0.741136,0.5624095,-0.912871,0.04903825,0.006085415,"S033",0.5
-20.70045,2.37128,1.9255,-0.84168,-0.0284022,0.277134,-30.28975,1.591185,1.410035,-0.8214875,0.0153754,-0.0131942,-15.7871,0.713522,0.481468,-0.9141635,0.0470346,0.003673815,"S033",1
-20.58695,2.2949,1.455845,-0.8164805,-0.03935315,0.2299505,-30.24225,1.600575,1.42181,-0.781043,0.00330798,-0.00951977,-16.0277,0.74711,0.4223785,-0.843436,0.03241935,0.0199629,"S033",2
-21.23575,2.339395,1.08571,-0.7976145,-0.0428948,0.2127795,-30.3057,1.62339,1.44519,-0.4389625,-0.009534615,0.01382225,-17.87005,0.8896455,0.216495,-0.66664,0.0158346,0.05878565,"S033",4
-20.84005,2.389285,2.025595,-0.840649,-0.0196135,0.290379,-30.2841,1.584945,1.38898,-0.8157515,0.01870685,-0.0101157,-15.41955,0.77356,0.707587,-0.9210225,0.0465609,0.00227095,"S053",0.5
-20.91775,2.24867,1.259985,-0.843105,-0.01855465,0.290322,-30.35735,1.567345,1.316055,-0.8185965,0.01515425,-0.0124538,-15.63125,0.7783315,0.696112,-0.9270635,0.04074015,-0.01533985,"S053",1
-20.6029,1.98281,-0.01201415,-0.817214,-0.0329523,0.2827605,-29.80845,1.522855,1.18327,-0.7907375,0.00159905,-0.009230965,-15.42005,0.7780215,0.789139,-0.5628525,-0.018724,0.0271123,"S053",2
-19.8768,1.61802,-2.437705,-0.6112855,-0.07332,0.270974,-27.71665,1.38685,0.9018475,-0.350904,-0.0084717,0.0247325,-15.64415,0.783301,0.9974735,-0.1597405,-0.02606635,0.03407945,"S053",4
-20.54895,2.487985,2.51864,-0.836971,-0.0186526,0.296997,-30.5041,1.58587,1.35192,-0.807753,0.01942685,-0.00932222,-15.89395,0.7288615,0.5449435,-0.9115415,0.049776,0.007047075,"S403",0.5
-20.40485,2.51164,2.413345,-0.8296795,-0.01227725,0.3078625,-30.90765,1.57407,1.21362,-0.80665,0.01774875,-0.009983065,-15.60845,0.691475,0.4933895,-0.915726,0.0491735,0.007314415,"S403",1
-20.1606,2.603905,1.897295,-0.7723295,-0.001332015,0.3847235,-31.5452,1.57284,1.000295,-0.7918995,0.0107436,-0.0117857,-15.5785,0.7150405,0.481016,-0.912587,0.04811325,0.0164413,"S403",2
-20.86375,2.913785,-0.000330175,-0.6587465,-0.0270597,0.4171725,-33.21165,1.609345,0.518985,-0.599961,-0.008892565,-0.00224464,-16.6667,0.820726,0.4166105,-0.7813025,0.02334595,0.04682365,"S403",4
-20.71205,2.430525,2.2571,-0.8408015,-0.0199172,0.287923,-30.4691,1.58761,1.38854,-0.811614,0.01884295,-0.01000095,-15.8828,0.7202605,0.5249765,-0.9246215,0.04859125,0.0043942,"S400",0.5
-20.6357,2.36647,1.85915,-0.8419075,-0.01845485,0.2831055,-30.7619,1.5861,1.314995,-0.8085475,0.01590805,-0.011567,-15.54425,0.667778,0.46187,-0.948349,0.04755525,-0.001644805,"S400",1
-20.33325,2.26155,1.441025,-0.8577965,-0.02107195,0.211736,-31.3019,1.60915,1.262775,-0.775275,0.00733342,-0.009193665,-15.4048,0.6742325,0.4099215,-0.973532,0.0474783,0.0004976945,"S400",2
-20.4143,2.27511,0.5158695,-0.854249,-0.0253424,0.07140305,-33.0578,1.70798,1.15906,-0.586971,-0.009487485,0.0160209,-16.44415,0.7213865,0.268888,-0.825581,0.0259302,0.00806099,"S400",4
-20.7337,2.40663,2.18152,-0.840843,-0.0196204,0.2918295,-30.4027,1.58692,1.385925,-0.809321,0.01939805,-0.009301785,-15.5135,0.768579,0.678144,-0.9076935,0.04873035,0.00580022,"S465",0.5
-20.5593,2.30974,1.822565,-0.8425915,-0.0170446,0.295718,-30.65005,1.583675,1.334395,-0.8065795,0.01780525,-0.009530525,-15.56515,0.772805,0.667977,-0.8933075,0.04472055,-0.0014588,"S465",1
-19.95485,2.16267,1.710735,-0.848188,-0.01534545,0.301962,-30.80695,1.6005,1.276425,-0.7741085,0.01167555,-0.00501963,-15.30395,0.8044445,0.775557,-0.764167,0.01417715,-0.004781515,"S465",2
-19.4669,2.13258,2.165285,-0.84778,-0.01572545,0.226675,-31.6909,1.662955,1.228885,-0.566773,-0.005096355,0.0166607,-15.86635,0.8826445,0.8983435,-0.4151365,-0.0193108,-0.0054159,"S465",4
-20.78205,2.415925,2.187565,-0.842499,-0.02139345,0.283143,-30.40295,1.58387,1.387165,-0.809204,0.0193604,-0.009520625,-15.6204,0.7684415,0.659682,-0.9123135,0.0488091,0.005965865,"S444",0.5
-20.8352,2.33305,1.77433,-0.851215,-0.02702935,0.266987,-30.44865,1.56978,1.34539,-0.8065045,0.01764675,-0.010473,-15.90315,0.7696405,0.588701,-0.9148635,0.04653245,0.00292206,"S444",1
-20.79625,2.211025,1.337415,-0.902541,-0.03708855,0.191222,-30.12985,1.552545,1.39341,-0.782267,0.0124219,-0.01107755,-16.36375,0.803522,0.5913045,-0.881664,0.0341306,0.00925254,"S444",2
-21.7681,2.215435,1.002415,-0.94338,-0.05117795,0.1370505,-29.28735,1.50909,1.49503,-0.610109,-0.007235915,-0.0001326475,-18.45835,0.9074575,0.561783,-0.343794,-0.02429895,0.0378026,"S444",4
-20.5357,2.45783,2.445325,-0.842049,-0.02055435,0.2857305,-30.37425,1.58797,1.39605,-0.8189095,0.0185263,-0.01058295,-15.60355,0.7528735,0.632159,-0.9239935,0.0467549,0.001923425,"S452",0.5
-20.1552,2.42051,2.28,-0.848824,-0.0230434,0.2795115,-30.6289,1.589885,1.344865,-0.822853,0.01490155,-0.01403625,-15.43855,0.714882,0.562198,-0.932725,0.04166935,-0.01395575,"S452",1
-19.15295,2.32598,2.17394,-0.8345305,-0.0180439,0.2836,-31.1172,1.613895,1.27121,-0.772182,0.002516915,-0.01021625,-14.3348,0.666975,0.5940925,-0.6797065,0.0007426455,0.0221232,"S452",2
-17.2463,2.19059,1.6183,-0.688787,-0.0173953,0.3172895,-32.54735,1.681565,1.14254,-0.417125,-0.007961645,0.0122523,-12.2636,0.577967,0.608698,-0.420326,-0.01605115,0.0472433,"S452",4
-20.5971,2.461265,2.4254,-0.839512,-0.01920205,0.2889755,-30.05535,1.59258,1.476425,-0.809381,0.01925345,-0.009453925,-15.51995,0.7681765,0.6776525,-0.908649,0.0486298,0.0055344,"S036",0.5
-20.4168,2.441185,2.269305,-0.835982,-0.01433545,0.289549,-29.76355,1.598535,1.54174,-0.8062155,0.017386,-0.0100824,-15.59655,0.7612915,0.6534255,-0.89848,0.04621095,-8.857565e-05,"S036",1
