"Participant","Ebbinghaus_Strength_Error","Ebbinghaus_Diff_Error","Ebbinghaus_Interaction_Error","Ebbinghaus_Strength_RT","Ebbinghaus_Diff_RT","Ebbinghaus_Interaction_RT","MullerLyer_Diff_Error","MullerLyer_Interaction_Error","MullerLyer_Strength_Error","MullerLyer_Strength_RT","MullerLyer_Diff_RT","MullerLyer_Interaction_RT","VerticalHorizontal_Strength_Error","VerticalHorizontal_Diff_Error","VerticalHorizontal_Interaction_Error","VerticalHorizontal_Diff_RT","VerticalHorizontal_Interaction_RT","VerticalHorizontal_Strength_RT"
"S208",0.539425,-8.94738,0.1208875,0.05739885,-0.653705,0.0506457,-2.00577,-0.0103867,0.217052,0.02236595,-0.439101,-0.02515575,0.0792942,-4.97075,0.00871011,-1.058535,0.0006597085,0.05176305
"S209",-0.07712465,-1.29555,-0.155763,-0.07517115,0.44985,-0.00873411,0.5334545,-0.0135469,0.12749,-0.00689443,0.309804,0.003762065,-0.00326656,-0.0695319,0.01718565,0.477517,-0.002233165,-0.01621035
"S210",1.242035,-2.35832,2.63489,0.08632605,-0.699969,0.03516135,-0.6250055,0.0164219,-0.317207,0.0289028,-0.571745,-0.0327676,0.1895085,-3.51012,0.301758,-0.5240715,-0.0001036515,0.0343299
"S211",-0.080734,3.196985,0.0817181,-0.06212565,0.4406275,-0.0190035,4.599575,0.003282595,-0.119415,0.001189685,0.1488835,-0.00523111,0.11038,0.9759805,0.2746595,0.5676075,-0.000289828,-0.0241153
"S212",0.711488,-3.357215,1.388935,-0.02188285,0.1172455,-0.009595745,1.84929,-0.00830685,0.06569555,0.00565284,0.1136635,-0.009514555,-0.00257127,-4.196005,-0.1063785,-0.183245,0.000656394,0.007918615
"S213",-0.1457105,-6.324475,-0.8636,-0.001789345,0.163026,-0.02632505,-0.567048,-0.004891595,0.1651505,0.0126036,0.054267,-0.01993775,0.111159,-2.23117,0.1882065,-0.05023205,-0.000602739,0.000532135
"S214",0.05732775,2.29921,0.4208705,-0.0349411,0.2091085,-0.01625255,-7.101715,-0.0292165,0.618448,-0.006073385,0.3340795,0.003338505,0.268693,-4.13259,0.58634,0.08071485,-0.00617897,0.01379085
"S215",-0.371671,1.688235,-0.3997585,-0.02723955,0.267758,-0.009097495,0.587365,0.008697065,-0.188437,-8.87792e-05,0.178866,-0.004602295,-0.128074,2.110665,-0.202082,0.0387293,-0.00284835,0.004232745
"S216",0.09570015,-1.63864,0.00353952,-0.01261525,0.1130655,-0.000522957,-0.765542,-0.01253795,0.09326075,0.008032875,-0.152696,-0.009169595,0.03171045,0.113792,0.05199805,0.435274,0.0001970005,-0.03100575
"S217",-0.03444525,4.02636,0.160807,-0.0238829,0.3404535,-0.0421981,1.29085,-0.01356835,0.0624037,-0.00196613,0.3275475,-0.002126755,0.0310131,0.633532,0.00930556,0.4068505,-0.004790835,-0.01277905
